,ARTIST,ALBUM TITLE,Box #,Notes,Double,Type of Double
7881,Game Theory,Distortion,,,,
7883,Off The Wall,Ground Zero,,,,
7884,Red Beret,First Impression,,,,
7887,Hawksound,Johnny Otis! Johnny Otis!,,,,
7889,Jimmy And The Mustangs,Jimmy And The Mustangs,,,,
7893,Illusion,Illusion,,,,
7894,Nyboma,Double Double,,,,
7898,"King, B.B.",I Love You So,,,,
7902,"Floyd, Eddie",Chronicle,,,,
7908,Booty's Rubber Band,This Boot Is Made For Fonk-N,,,,
7910,Funkadelic,Connections And Disconnections,,Record and case missing (not recorded),,
7911,Ralph,Best Of Ralph,,,X,1/2
7914,"Charles, Ray",The Genius Of Ray Charles,,,,
7917,Rush,Permanent Waves,,,,
7918,"Stone, Sly",San Francisco Recordings 1964-1967,,,,
7920,War,Youngblood,,Only side 1 recorded?,,
7921,"Ventures, The",Greatest Hits,,,,
7922,"Ventures, The",Rock And Roll Forever,,,,
7924,"Gap Band, The",Strike A Groove,,,,
7925,Various,The Decline Of Western Civilization,,,,
7926,"Call, The",The Call,,,,
7927,Telephone,Telephone,,,,
7928,"Washington, Tuts",New Orleans Piano Professor,,,,
7929,Hammer,Hammer,,,,
7932,"Cymone, Andre",Livin' In The New Wave,,,,
7933,Brick,Good High,,,,
7934,Monsoon,Third Eye,,,,
7935,"Dream Syndicate, The",Medicine Show,,,,
7936,Acrylix,Colour Blind,,,,
7937,"Group, The",I Hear I See I Learn,,,,
7938,"Shear, Jules",Jules,,,,
7939,"Meditation, The",Greatest Hits,,,,
7940,Fad Gadget,Gag,,,,
7941,"Mcgregor, Freddie",Come On Over,,,,
7942,Squeezed,What Is This,,,,
7943,Various,Sixteen Candles (Soundtrack),,,,
7944,Psychedelic Furs,Mirror Moves,,,,
7945,Dub Poets Dub,Dub Poets Dub,,,,
7947,Yellowman,King Yellowman,,,,
7948,"You, Yabby","One Love, One Heart",,,,
7949,"Waters, Roger",The Pros And Cons Of Hitchhiking,,,,
7950,Bob Marley and The Wailers,Natty Dread,,,,
7951,"Juke Jumpers, The",Jumper Cables,,,,
7952,NRBQ,Nrbq,,,,
7953,Simon And Garfunkel,The Graduate,,,,
7954,"Cooper, Alice",Billion Dollar Babies,,,,
7955,"Ventures, The",Nasa's 25Th Anniversary Commemorat,,,,
7956,"Cocker, Joe",Civilized Man,,,,
7957,Dead Or Alive,Sophisticated Boom Boom,,,,
7958,One The Juggler,Nearly A Sin,,,,
7959,Freelance Vandals,Yer Money Or Yer Ears,,,,
7960,"Reed, Lou",New Sensations,,,,
7961,Rank And File,Long Gone Dead,,,,
7962,Bananarama,Bananarama,,,,
7963,"Van Tieghem, David",These Things Happen,,,,
7964,"Bush, Kate",Never For Ever,,,,
7965,Frankenstein And The All-Star Mons,Frankenstein And The All-Star Mons,,,,
7966,"Nelson, Willie",Angel Eyes,,,,
7967,"Gorl, Robert",Darling Don't Leave Me,,,,
7968,TSOL,Change Today?,,,,
7969,"Danse Society, The",Heaven is Waiting Promotional Copy,,,,
7970,Various,Streets Of Fire,,,,
7971,"Hairman, Robit",Resident Alien,,,,
7972,"Human League, The",Hysteria,,,,
7973,Kajagoogoo,Islands,,,,
7974,Echo & The Bunnymen,Ocean Rain,,"Chunk missing from side of record -- had to start recording partway through track 2 on side one, and partway through track 1 on side two.",,
7975,Aztec Camera,Oblivious,,,,
7976,Minnie Ripperton And Rotary Connec,Hey Love,,,,
7977,"Assembly, The",Never Never,,,,
7978,Lyres,On Fire,,,,
7979,Love Circus,Love Circus,,,,
7980,"Okosun, Sonny",Liberation,,,,
7981,"Glitter, Gary",The Leader,,,,
7982,Waterfront Home,New Breed Of Mermaid,,,,
7983,Fashion,Twilight Of Idols,,,,
7984,"Glover, Robert",The Mask,,,,
7985,"Greg Kihn Band, The",Kihntagious,,,,
7986,Safety Last,Struck By Love,,,,
7987,Stevie Ray Vaughan & Double Trouble,Couldn't Stand the Weather,,,,
7988,Via Afrika,Via Afrika,,,,
7989,"Violent Femmes, The",Hallowed Ground,,,,
7990,"Call, The",Scene Beyond Dreams,,,,
7991,Michigan And Smiley,What A Life,,,,
7993,"Smith, Kendra, David Roback, Keith",Fell From The Sun,,,,
7994,Siouxsie & The Banshees,Hyaena,,,,
7995,"Cure, The",The Top,,,,
7996,"Lowe, Nick",Nick Lowe And His Cowboy Outfit,,,,
7997,Ultravox,Lament,,,,
7998,James Brown And The Famous Flames,"The Federal Years, Part One",,,,
7999,"Grant, Eddy",Going For Broke,,,,
8000,"Springsteen, Bruce",Born In The U. S. A.,,,,
8001,"Fleshtones, The",American Beat,,,,
8002,Rubber Rodeo,Scenic Views,,,,
8003,Difford And Tilbrook,Difford And Tilbrook,,,,
8004,Moving Parts,Moving Parts,,,,
8005,Ten Ten,Ordinary Thinking,,,,
8006,"Duchien, Armand",(10-9-8.) Countdown,,,,
8007,"Price, Alan",Lucky Day,,,,
8008,"E, Sheila",The Glamorous Life,,,,
8009,"Wind, The",Guest Of The Staphs,,,,
8010,"Pohjola, Pekka",Everyman,,,,
8011,Psychodrama,I'm No Your Doormat,,,,
8012,Split Enz,Conflictin Emotions,,,,
8013,"Ashman, Stephen",Cooler Than Death,,,,
8014,Various,You're A Hook: The 15 Year Anniversary,,DONE RE-RECORDING.,,
8015,Lenny Kaye Connection,I've Got A Right,,,,
8016,"Waite, John",No Brakes,,,,
8017,Box Of Frogs,Box Of Frogs,,,,
8018,X-Teens,Love And Politics,,,,
8020,"Bangles, The",All Over The Place,,,,
8022,"Foxton, Bruce",Touch Sensitive,,,,
8023,INXS,I Send A Message,,,,
8025,"Effigies, The",For Ever Grounded,,,,
8026,Way Of The West,City For Lovers,,,,
8027,"Eurythmics, The",Who's That Girl,,Record and case missing (not recorded),,
8028,Prince And The Revolution,Purple Rain,,,,
8029,"Fraser, Andy",Fine Fine Line,,,,
8030,Moja Nya,Streetwise,,,,
8031,Various,Survival Sampler,,,,
8032,"Turner, Tina",Private Dancer,,,,
8033,Lighnin' Rod And Jimi Hendrix,Doriela Du Fontaine,,,,
8034,Tangerine Dream,Firestarter,,,,
8035,Blow-Up,Easy Knowledge,,,,
8036,Big Brother And The Holding Company,Cheaper Thrills,,,,
8037,"Keith, Bill",Banjoistics,,,,
8038,"Fleck, Bela",Double Time,,,,
8039,"Sylvain, David",Brilliant Trees,,,,
8040,Various,Songs For Peace,,,,
8041,"Adams, Johnny",From The Heart,,,,
8042,Various,Blues Explosion,,,,
8043,Various,Fast Folk Live At The Bottom Line,,,,
8044,Love Tractor,Around The Bend,,,,
8045,NRBQ,Tapdancin' Bats,,,,
8046,Chequered Past,Chequered Past,,,,
8047,Little Steven,Voice Of America,,,,
8048,"Cope, Julian",World Shut Your Mouth,,,,
8049,Noisy Neighbors,Noisy Neighbors,,,,
8050,"Polecats, The",Make A Circuit With Me,,,,
8051,"King, Carole",Speeding Time,,,,
8052,Bad Manners,Forging Ahead,,,,
8053,"John, Elton",Breaking Hearts,,,,
8054,Parking Meters,Cross My Heart,,,,
8055,Sparks,Pulling Rabbits Out Of A Hat,,,,
8056,Beyond The Pale,Passion Puppets,,,,
8057,"Gorl, Robert",Night Full Of Tension,,Record and case missing (not recorded),,
8058,"Veil, The",1000 Dreams Have Told Me,,,,
8059,Steve Morse Band,The Introduction,,,,
8060,"Flock Of Seagulls, A",The Story Of A Young Heart,,,,
8061,Public Image Ltd.,This Is What You Want. This Is Wha,,,,
8062,Romeo Void,A Girl In Trouble (Is A Temporary,,,,
8063,"King, Albert","I'm in a Phone Booth, Baby",,,,
8064,"Del Santo, Dan",World Beat,,,,
8065,"Untouchables, The",Live And Let Dance,,,,
8066,Bananarama,Cruel Summer,,,,
8067,Identity,Identity,,,,
8068,"Bluebells, The","Bluebells, The",,,,
8069,"Neville Brothers, The",Neville-Ization,,,,
8071,"Cockburn, Bruce",Stealing Fire,,,,
8072,Torch Song,Wish Thing,,,,
8073,Depeche Mode,People Are People,,,,
8075,Various,U.K. Buzz Vol. 2,,,,
8076,"Dream Syndicate, The",Down There,,,,
8077,Skids,The Absolute Game,,,,
8078,"Three O' Clock, The",Baroque Hoedown,,,,
8079,"O'Jays, The",The O'Jays' Greatest Hits,,Record and case missing (not recorded),,
8080,"Time, The",Ice Cream Castle,,,,
8081,"Teddy Boys, The",Drive This!,,,,
8083,Various,Kosher Club,,,,
8084,Pacific Orchestra,Infinity Ship,,,,
8085,Various,Out Of The Darkness,,,,
8086,Southside Johnny And The Jukes,In The Heat,,,,
8087,Carmel,The Drum Is Everything,,,,
8088,"Wolf, Peter",Lights Out,,,,
8089,"Peterson, Tom",Another Language,,,,
8090,Canned Heat,Heat Bros. 84,,,,
8091,Urban Blight,Peacetrain,,,,
8092,Scritti Politti,Wood Beez Absolute Single,,,,
8093,Various,"Radio Tokyo Tapes, Volume ",,,,
8095,"Hancock, Herbie",Hardrock,,,,
8096,"Art Of Noise, The",Who's Afraid Of The Art Of Noise,,,,
8098,Silent Running,Emotional Running,,,,
8099,"Only Ones, The",Baby's Got A Gun,,Record and case missing (not recorded),,
8100,Various,Nobody Gets On The Guest-List,,,,
8103,Cometeens,Deal With It,,,,
8104,Black Uhuru,Anthem,,,,
8105,Various,Rhythm Come Forward: A Reggae Anthology,,,,
8106,"Stills, Stephen",Right By You,,,,
8107,Bob Marley and The Wailers,Legend,,,,
8108,King Sunny Ade And His African Bea,Aura,,,,
8109,Bobby & The Midnights,Where The Beat Meets The Street,,,,
8110,Romeo Void,Instincts,,,,
8111,Spandau Balet,Parade,,,,
8112,Kansas,The Best Of Kansas,,,,
8115,Various,Electric Dreams,,,,
8116,Zachary,Astro Boy On Venus,,Was recorded on 33 instead of 45 for the first half. (Delete the first waveform of the three),,
8117,"Special Aka, The",Free Nelson Mandela Remix,,,,
8118,"Pressure Boys, The",Rangledoon,,RE-RECORD? Looks like 2nd half missing,,
8119,Ten From Texas,Herd It Through The Grape Vine,,,,
8120,Dr. John,Such A Night,,,,
8121,Tragic Mulatto,Judo For The Blind,,,,
8122,Fiction Factory,Fiction Factory,,,,
8123,"Vels, The",Velocity,,,,
8124,"Nelson, Bill",Bill Nelson,,,,
8125,"Rice, Tony",Cold On The Shoulder,,,,
8126,Various,Rhythm Of Resistance,,,,
8127,"Williams, Delroy",I Stand Black,,,,
8128,Reggae Regular,Ghetto Rock,,,,
8129,"Heron, Gill Scott",Reron,,,,
8130,Animation,Loud Day,,,,
8131,Scream,Sampler Containing Really Exciting,,,,
8132,"Stivell, Alan",Celtic Symphony,,,X,1/2
8133,Falco,Jungle Roamer,,,,
8134,"Buckingam, Lindsey",Go Insane,,,,
8135,U.K. Buzz,# 003,,,,
8136,"Hein, Ruppert",The Wildest Wish To Fly,,,,
8137,"Brik, Addie",Wattsland,,,,
8138,Dubset,Fresh Made World,,,,
8139,"Walker, Phillip",Tough As I Want To Be,,,,
8140,"Last Poets, The",The Last Poets,,Record and case missing (not recorded),,
8141,Various,Battlefield Earth (Soundtrack),,,,
8142,Hi-Life Internation,Music To Wake The Dead,,,,
8143,Design,Dancing In A Trance,,,,
8144,"Vollenweider, Andreas",Pace Verde,,,,
8145,Ciani,Seven Waves,,,,
8146,"Jack, Peter",3000 Barrooms Later,,,,
8149,Love Tractor,Til The Cows Come Home,,,,
8150,"Dibango, Manu",Abele Dance,,,,
8151,"Watanabe, Kazumi",Mobo I,,,,
8152,"Staple Singers, The",Forecast,,Record and case missing (not recorded),,
8153,Sidney,Let's Break,,,,
8154,Red Hot Chili Peppers,Red Hot Chili Peppers,,,,
8155,INXS,Underneath The Colours,,,,
8156,INXS,Inxs,,,,
8157,"Good Guys, The",A System Of Grooves,,,,
8158,Mojo Bone,Mojo Bone,,,,
8159,Section 25,Section 25,,,,
8160,David Peel & The Lower East Side,1984,,,,
8170,Men Without Hats,Folk Of The 80's Part III,,,,
8171,"Fixx, The",Phantoms,,,,
8172,U2,The Unforgettable Fire,,,,
8173,Rain Parade,Explosions In The Glass Palace,,,,
8174,"Jones, Rickie Lee",The Magazine,,,,
8176,"Gun Club, The",The Las Vegas Story,,,,
8177,"Budd, Harold With Brian Eno And Da",The Pearl,,,,
8178,Tracie,Far From The Hurting Kind,,,,
8179,"Hancock, Herbie",Sound-System,,,,
8180,"Holland, Jools",Rock 'a' Boogie Billy,,,,
8181,Talking Heads,Stop Making Sense,,,,
8182,"Church, The",Remote Luxury,,,,
8183,Blancmange,Mangetout,,,,
8184,Let's Active,Cypress,,,,
8185,Mr. T's Commandment,Mr. T's Commandment,,,,
8186,Red Rockers,Schizophrenic Circus,,,,
8187,"Capaldi, Jim",One Man Mission,,,,
8188,"Swimming Pool Q's, The","Swimming Pool Q's, The",,,,
8189,Various,Every Man Has A Woman,,,,
8190,Dumptruck,'d' Is For Dumptruck,,,,
8191,Heaven 17,Sunset Now,,,,
8192,Raise The Dragon,Deliverance,,,,
8193,Various,Fast Folk Vol. 1 No. 5,,,,
8194,Various,Fast Folk Vol. 1 No. 6,,,,
8195,"Everly Brothers, The",Eb84,,,,
8196,"Prisoners, The",Revenge Of The Prisoners,,,,
8197,Passionnel,The Apostle,,,,
8198,Choir Invisible,Sea To Shining Sea,,,,
8199,Boneman Of Barumba,Icons,,DONE RE-RECORDING.,,
8200,Juluka,Stand Your Ground,,,,
8201,"Goddard, Scott",Your Fool,,,,
8202,Cathedral Of Tears,Cathedral Of Tears,,,,
8203,Bro. David,No Fears,,,,
8204,"Nighthawks, The",Hot Spot,,,,
8206,Various,Beat Street (Soundtrack),,,,
8207,West Street Mob,Breakdance Electric Boogie,,Record and case missing (not recorded),,
8208,"Sugar Hill Gang, The",Livin' In The Fast Lane,,,,
8209,Channel 3,Airborne,,,,
8210,"Bambaataa, Afrika and James Brown",Unity,,Record and case missing (not recorded),,
8212,Various,Flipside Vinyl Fanzine Vol. 1,,,,
8213,Shriekback,Jam Science,,,,
8214,Dragon,Body And The Beat,,,,
8215,"Edmunds, Dave",Riff Raff,,,,
8218,"Bowie, David",Tonight,,,,
8219,"dB's, The",Like This,,,,
8220,"Verlaine, Tom",Cover,,,,
8222,Aztec Camera,Knife,,,,
8223,"Seventy Sevens, The",All Fall Down,,,,
8224,Glenn Philips Band,St. Valentine's Day,,,,
8225,Messenjah,Session,,,,
8226,"Minutemen, The",Double Nickels On The Dime,,Funky repetition on outro (both LPs),X,1/2
8228,"Del Fuegos, The",The Longest Day,,,,
8229,"Waterboys, The",A Pagan Place,,,,
8230,Orchestral Manoeuvres In The Dark,Locomotion,,,,
8231,Birdsongs Of The Mesozoic,Magnetic Flip,,,,
8232,"Reds, The",Shake Appeal,,,,
8234,Sex Execs,Sex Train,,,,
8235,Frankie Goes To Hollywood,Two Tribes (Annihilation),,No Album Image,,
8236,Dancing Hoods,Confidential 002,,,,
8237,Mark Dumais And The Hands Of Time,Hero Within Marilyn,,,,
8238,Darkroom,San Paku,,,,
8239,Front 242,Endless Riddance,,,,
8240,Maximum America,This Is Art,,,,
8241,"Sound, The",Shock Of Daylight,,,,
8242,Hi Fi Tie,The Boys Can't Help It,,,,
8245,"Long Ryders, The",Native Sons,,,,
8246,True West,Drifters,,,,
8248,General Public,All The Rage,,,,
8249,Captain Sensible,A Day In The Life Of.,,,,
8250,Captain Beefheart & His Magic Band,The Legendary A&M Sessions,,,,
8252,Bikanda,Magic Baobob/Sun And Rain,,,,
8253,Heaven 17,How Men Are,,,,
8254,Afrika Bambaataa and the Soulsonic Force,Frantic Situation,,,,
8255,"Thompson, Marc Anthony","Thompson, Marc Anthony",,,,
8256,"Sano, Moto",Complication Shakedown,,,,
8257,"Dads, The","Dads, The",,,,
8258,Breakfast In Bed,And Now What?,,,,
8259,"Bragg, Billy",Life's A Riot With Spy Vs Spy,,,,
8260,"Textones, The",Midnight Mission,,,,
8261,Various,The Wild Life (Soundtrack),,,,
8262,Belfegore,Belfegore,,,,
8263,"Graphic, The",People In Glass,,,,
8264,"Shrieve, Michael",Transfer Station Blue,,,,
8265,Aztec Camera,All I Need Is Everything,,,,
8266,"Smith Sisters, The",Bluebird,,,,
8267,Jethro Tull,Under Wraps,,,,
8268,Black Uhuru,The Dub Factor,,,,
8269,Cocteau Twins,Head Over Heels,,,,
8270,"Tsuchiya, Masami",Rice Music,,,,
8271,Various,That's The Way I Feel Now: A Tribute to Thelonious Monk,,RE-RECORD! Supposed to be a double?,,
8272,Devo,Shout,,,,
8273,"Atma, Tri With Netzle, Klaus",Yearning And Harmony,,,,
8274,Pseudo Echo,Pseudo Echo,,,,
8275,Depeche Mode,Some Great Reward,,,,
8276,Jade Warrior,Horizon,,,,
8278,"Dread, Mikey",Pave The Way,,,,
8279,Sugar Minott,Slice Of The Cake,,,,
8281,Tales Of Terror,Noise And More Noise,,,,
8283,D.O.A.,Bloodied But Unbowed,,,,
8284,Minimal Man,Safari,,,,
8285,"Collins, Judy",Home Again,,,,
8286,Illustrated Man,Illustrated Man,,,,
8287,UB40,Geffery Morgan,,,,
8288,Get Smart,Words Move,,,,
8289,XTC,The Big Express,,,,
8290,Ministry,Everyday (Is Halloween),,,,
8291,"Hendrix, Jimi",Kiss The Sky,,,,
8292,"Nails, The",Mood Swing,,,,
8293,Fred Schneider And The Shake Soci,Fred Schneider And The Shake Socie,,,,
8294,"Robinson, Tom",Hope And Glory,,,,
8295,"Twins, The",Modern Lifestyle,,,,
8296,Icehouse,Sidewalk,,,,
8297,Mcgregor Freddie,Across The Border,,,,
8298,Swoon,Prefab Sprout,,,,
8299,"Stamey, Chris",Excitement,,,,
8300,U.K. Buzz,#4,,,,
8301,"Honey Drippers, The",Volume I,,,,
8304,"Trypes, The",The Explorers Hold,,,,
8305,Mad Parade,Mad Parade,,,,
8306,"Morgan, Denroy",Make My Day,,,,
8307,"Backsters, The",Get On Your Back!,,,,
8308,Visage,Love Glove,,,,
8309,Root Boy Slim,Dog Secrets,,,,
8311,Alphaville,Forever Young,,,,
8314,"Lennon, Julian",Valotte,,,,
8315,"McCartney, Paul",Give My Regards To Broad Street,,,,
8316,"Mclaren, Malcom",Madam Butterfly,,,,
8317,Various,"Revenge Of The Killer B's, Volume",,,,
8318,Spirit,Spirit Of 84',,,,
8319,Boronski Beat,The Age Of Consent,,,,
8321,"Legendary Pop P Pies, The",Joe's Second Record,,,,
8322,Code Of Honor,Beware Of The Savage Jaw,,,,
8323,Flipper Suffered For Their Music,Now Its Their Turn,,,,
8324,Various,Billy's Revue,,,,
8325,Clannad,Scarlet,,,,
8326,"Brewer, Teresa",In London,,,,
8327,Kenny Acosta And The House Reckers,Kenny Acosta And The House Reckers,,,,
8328,"Drongos, The","Drongos, The",,,,
8329,Red Wedding,Nails,,,,
8330,"Times, The",Hip Isn't It,,,,
8331,"Presley, Elvis",Rocker,,,,
8333,Suzy Saxon & The Anglos,Guilt By Association,,,,
8334,Oily Rags,Oily Rags,,,,
8335,"Davis, Miles & Ray Herrmann",Hyprid Vigor,,Hard intro to side 1?,,
8336,Los Lobos,How Will The Wolf Survive?,,,,
8337,"Joe ""King"" Carrasco & The Crowns",Bordertown,,,,
8339,"Brown, Julie",Goddess In Progress,,,,
8340,Various,The Woman In Red (Soundtrack),,,,
8341,"J. Giles Band, The",You're Getting' Even While I'm Get,,,,
8342,"Cale, John",Comes Alive,,,,
8343,"Yanks, The",Made In America,,,,
8344,Big Country,Steeltown,,,,
8345,"Dream Syndicate, The",This Is Not The New Dream Syndicat,,,,
8346,Vangelis,Soil Festivities,,,,
8347,"Popular History Of Signs, A",A Popular History Of Signs,,,,
8348,"Del-Lords, The",Frontier Days,,DONE RE-RECORDING.,,
8349,Pop Art,Pop Art,,,,
8350,"Robinson, Fenton",Nightflight,,,,
8352,"Pool, The",333,,,,
8353,"Silver Tears, The",The Silver Tears,,,,
8354,"Leaving Trains, The",Well Down Blue Highway,,,,
8356,"Okusuns, Sonny",Which Way Nigeria?,,,,
8357,Toots And The Maytals,Reggae Greats,,,,
8358,Steel Pulse,Reggae Greats,,,,
8359,Gladiators,Serious Thing,,,,
8361,Frankie Goes To Hollywood,Welcome To The Pleasuredome,,,X,1/2
8362,Everything But The Girl,Everything But The Girl,,,,
8363,"Bombardiers, The",Search And Enjoy,,,,
8364,Young Fresh Fellows,The Fabulous Sounds Of The Pacific,,,,
8365,Various,Fast N' Loud Radio Presents: The M,,,,
8366,Second Language,Second Language,,Record and case missing (not recorded),,
8367,Various,A Reggae Christmas,,,,
8377,Xmal Deutschland,Tocsin,,,,
8379,45 Grave,A Tale Of Strange Phenomena,,,,
8380,Beat Pagodas,Beat Pagodas,,,,
8381,Hunters & Collectors,The Jaws Of Life,,,,
8382,Redd Kross,Teen Babes From Monsanto,,Ugly skips,,
8383,Sorry,Imaginary Friend,,,,
8384,"Elfman, Danny",So-Lo,,,,
8386,"Isaacs, Gregory",Reggae Greats: Gregory Isaacs Live,,,,
8387,Various,Reggae Greats: DJs,,,,
8388,Sideway Look,Sideway Look,,,,
8389,Dalbello,Animal,,,,
8390,"Summers, Andy & Robert Fripp",Bewitched,,,,
8391,"Who, The",Who's Last?,,,X,1/2
8392,"Anderson, Laurie",Laurie Anderson,,,,
8393,"Kinks, The",Word Of Mouth,,,,
8395,Fresh Metzger,Fresh Metzger,,,,
8396,"Spitfire Band, The",Flight Iii, ,,,
8397,"Animals, The",Greatest Hits Live,,,,
8398,"Reducers, The",Let's Go,,,,
8399,"Rankin, John",Something I Ate,,,,
8400,"Kabra, Brij Bhushan",Raga Puriya Alap,,,,
8402,Various,Spin Cycle,,,,
8403,"Addy, Obo",Obo,,,,
8404,Ism,Constantinople,,,,
8405,Various,Scream No. 2,,,,
8406,Belairs,Need Me A Car,,,,
8407,Idot Savant,The Rest On Down,,,,
8408,I Am Siam,Talk To Me,,,,
8409,Scritti Politti,Hypnotize,,,,
8410,Arto Lindsay And Ambitious Lovers,Envy,,,,
8411,"Jackson, Ronald Shannon",Pulse,,,,
8412,Deodato,Motion,,,,
8413,Tirez Tirez,Under The Door/Sleep,,,,
8415,"Allison, George",So Unusual,,,,
8416,Penguin Café Orchestra,Broadcasting From Home,,,,
8417,"Stevens, Cat",Footsteps In The Dark,,,,
8418,"Smiths, The",How Soon Is Now?,,,,
8419,Various,Let's Breed,,,,
8420,"Johansen, David",Sweet Revenge,,,,
8422,Time Zone,World Destruction,,,,
8423,"Blow, Kurtis",Christmas Rappin',,,,
8425,Sankofa,Sankofa,,,,
8426,Exposure,Lief Des Lied,,,,
8428,"Uptown Rulers, The","Twelve Inches, 12!",,,,
8429,"Dylan, Bob",Real Live,,,,
8430,"Prime Movers, The",Museum,,,,
8431,"Flying Lizards, The",Dizzy Miss Lizzie,,,,
8432,"Eurythmics, The",1984,,,,
8433,Prince Lincoln And The Royal Rasse,Roots Man Blues,,,,
8434,"Burnett, T-Bone",Truth Decay,,,,
8435,"Hassell, John",Dream Theory Malaya: Fourth World,,,,
8436,Various,Raindrops Pattering On Banana Leaves,,,,
8437,"Residents, The",Whatever Happened To The Vileness,,,,
8438,"Hitchcock, Robyn",I Often Dream Of Trains,,,,
8439,This Mortal Coil,It'll End in Tears,,,,
8440,"Fall, The",The Wonderful And Frightening Worl,,,,
8441,Various,"Motown Christmas, A",,,X,1/2
8442,Various,Tokyo Mobile Music 1,,,,
8443,Felt,The Strange Idols Pattern And Othe,,,,
8444,"Kunda, Toure",Casamance Au Clair De Lune,,,,
8445,Yellowman,Nobody Move Nobody Get Hurt,,,,
8446,Chris D. / Divine Horseman,Time Stands Still,,,,
8447,Moraz/Bruford,Music For Piano And Drum,,,,
8449,Mandingo,Watto Sitta,,,,
8450,Onike,Bushwoman,,,,
8451,Roomful Of Blues,Dressed Up To Get Messed Up,,,,
8452,Dalis Car,The Waking Hour,,,,
8453,Limahl,Don't Suppose,,,,
8454,Naked Prey,Down Here,,,,
8457,"Cold, The",I Go To Pieces / Take All The Time,,Re-Record.,,
8458,"Keane, Tommy",Back Again (Try.),,,,
8459,"Mclaren, Malcolm",Fans,,,,
8460,"Blow Monkeys, The",Limping For A Generation,,,,
8461,"Cope, Julian",Pride,,,,
8463,"Jarre, Jean-Michel",Zoolook,,,,
8464,Salem 66,Self-Titled,,,,
8465,Droogs,Stone Cold World,,,,
8467,"Gravedigger Five, The",All Black And Hairy,,,,
8469,"Thompson, Richard",Small Town Romance,,,,
8470,Husker Du,New Day Rising,,,,
8471,"Okosun, Sonny",African Dance Music,,,,
8472,"Stranglers, The",Skin Deep,,,,
8473,Crazy 8s,Law And Order,,,,
8474,White Flag,Third Strike,,,,
8475,"Sirker, Victor",Creole Cooking,,,,
8477,Blue In Heaven,Julie Cries,,,,
8478,"Bluebells, The",Sisters,,,,
8479,Fast Folk,Volume One Number Eight,,,,
8480,Fast Folk,Volume One Number Seven,,,,
8481,Gang Of Four,At The Palace,,,,
8482,"Cure, The",Live,,,,
8483,Cocteau Twins,Treasure,,,,
8484,Squalls,Self-Titled,,,,
8485,In Tua Nua,Take My Hands,,,,
8486,"700 Club, The",The 700 Club,,,,
8487,Appliances,Sfb,,,,
8488,"King, Charlie",My Heart Keeps Sneakin Up On My He,,,,
8489,"Hiatt, John",Warming Up To The Ice Age,,,,
8490,Cosmetic With Jamaaladeen Tacuma,So Tranquilizin',,,,
8491,"Drop In The Gray, A",Certain Sculptures,,,,
8492,Copernicus,Nothing Exists,,,,
8493,"Goodman, Steve",Affordable Art,,,,
8494,"Takahashi, Yukihiro",Wild And Moody,,,,
8495,"Sound, The",One Thousand Reasons,,,,
8496,"Fogerty, John",Centerfield,,,,
8498,Cabaret Voltaire,Micro-Phonies,,,,
8499,Franco And Rochereau,Omona Wapi,,,,
8501,"Pablo, Augustus",King Tubbys meets Rockers Uptown,,,,
8502,Red Guitars,Slow To Fade,,,,
8503,Pj And The Terrorists,Territory,,,,
8504,Tuff Turf,Original Soundtrack,,,,
8505,"Arms Of Someone New, The",Burying The Carnival,,,,
8506,"Moraz, Patrick",Timecode,,,,
8508,Lloyd Cole and The Commotions,Rattlesnake,,,,
8510,Patti Smith Group,Radio Ethiopia,,Record and case missing (not recorded),,
8511,Guadalcanal Diary,Walking In The Shadow Of the big M,,,,
8512,"Nelson, Bill",The Two-Fold Aspect Of Everything,,,X,1/2
8513,"Hosono, Haroumi",Sfx,,,,
8514,Pat Metheny Group,This Is Not America,,,,
8515,"Velvet Underground, The",Vu,,,,
8516,"Brown, Nappy",Tore Up,,,,
8517,Frankie Goes To Hollywood,Self-Titled,,,,
8518,"Weathersby, Shad",Light Putside That Door,,DONE RE-RECORDING.,,
8519,"Bragg, Billy",Brewing It Up,,,,
8520,"Bel, M'bilia",Bameli Soy,,,,
8521,Flash And The Pan,Early Morning Wake Up Call,,RE-RECORD! Cuts out halfway through,,
8522,"March Violets, The",Natural History,,,,
8523,"Names, The",Swimming,,,,
8524,"Cult, The",Dreamtime,,Second LP is a live recording,X,
8525,"Burnett, T-Bone",Behind The Trap Door,,,,
8526,Microdisney,Everbody Is Fantastic,,,,
8527,Skeletal Family,Burning Oil,,,,
8528,Sad Lovers And Giants,Feeding The Flame,,,,
8530,"Lorber, Jeff",Step By Step,,,,
8531,Roman Holliday,Fire Me Up,,,,
8532,"Thompson, Linda",One Clear Moment,,,,
8533,"Bongos, The",Beat Hotel,,,,
8534,"Triffids, The",Raining Pleasure,,,,
8535,Bunny Drums,Holy Moly,,,,
8536,"Smiths, The",Meat Is Murder,,,,
8537,"Newman, Gary",Berserker,,,,
8538,"Vipers, The",Outta The Nest,,,,
8539,"Arthur, Bill",Talking White,,,,
8540,"Square Root Of Now, The",But She's A Nice Girl,,,,
8541,Aswad,Rebel Souls,,,,
8542,Tones On Tail,Situation.,,,,
8543,Various,Scream: Sampler Containing Really,,,,
8544,Minimal Compact,Next One Is Real,,,,
8545,"Beat Farmers, The",Tales Of The New West,,,,
